año,provincia,departamento,cultivo,lat,lon,zona_agroclimatica,rendimiento_tn_ha
2011,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.07
2012,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,2.62
2013,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.07
2014,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.1
2015,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.08
2016,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,2.0
2017,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.25
2018,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.35
2019,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.39
2020,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.15
2021,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.46
2022,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,1.78
2023,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.56
2024,Santa Fe,Belgrano,Soja,-32.6104361547012,-61.7047364516353,Pampa Húmeda,3.46
2000,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.61
2001,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.82
2002,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.49
2003,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.81
2004,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.72
2005,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.85
2006,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.43
2007,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.97
2008,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.18
2009,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.89
2010,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.96
2011,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.07
2012,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.62
2013,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.07
2014,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.1
2015,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.08
2016,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,2.0
2017,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.25
2018,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.35
2019,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.39
2020,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.15
2021,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.46
2022,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,1.78
2023,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.56
2024,Santa Fe,General Obligado,Soja,-28.672536399396,-59.5266963989458,Pampa Húmeda,3.46
2000,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.61
2001,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.82
2002,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.49
2003,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.81
2004,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.72
2005,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.85
2006,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.43
2007,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.97
2008,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.18
2009,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.89
2010,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.96
2011,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.07
2012,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.62
2013,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.07
2014,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.1
2015,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.08
2016,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,2.0
2017,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.25
2018,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.35
2019,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.39
2020,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.15
2021,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.46
2022,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,1.78
2023,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.56
2024,Santa Fe,Vera,Soja,-28.9706345150851,-60.4136679252075,Pampa Húmeda,3.46
2000,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.61
2001,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.82
2002,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.49
2003,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.81
2004,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.72
2005,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.85
2006,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.43
2007,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.97
2008,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.18
2009,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.89
2010,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.96
2011,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.07
2012,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.62
2013,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.07
2014,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.1
2015,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.08
2016,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,2.0
2017,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.25
2018,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.35
2019,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.39
2020,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.15
2021,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.46
2022,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,1.78
2023,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.56
2024,Santa Fe,9 de Julio,Soja,-28.8486776771703,-61.3979945646643,Pampa Húmeda,3.46
2000,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.61
2001,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.82
2002,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.49
2003,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.81
2004,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.72
2005,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.85
2006,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.43
2007,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.97
2008,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.18
2009,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.89
2010,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.96
2011,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.07
2012,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.62
2013,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.07
2014,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.1
2015,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.08
2016,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,2.0
2017,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.25
2018,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.35
2019,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.39
2020,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.15
2021,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.46
2022,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,1.78
2023,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.56
2024,Santa Fe,San Jerónimo,Soja,-32.1537713587336,-61.0481265782097,Pampa Húmeda,3.46
2000,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.61
2001,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.82
2002,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.49
2003,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.81
2004,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.72
2005,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.85
2006,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.43
2007,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.97
2008,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.18
2009,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.89
2010,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.96
2011,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.07
2012,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.62
2013,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.07
2014,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.1
2015,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.08
2016,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,2.0
2017,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.25
2018,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.35
2019,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.39
2020,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.15
2021,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.46
2022,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,1.78
2023,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.56
2024,Santa Fe,Las Colonias,Soja,-31.3153379040603,-61.1094808023915,Pampa Húmeda,3.46
2000,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.61
2001,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.82
2002,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.49
2003,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.81
2004,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.72
2005,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.85
2006,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.43
2007,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.97
2008,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.18
2009,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.89
2010,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.96
2011,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.07
2012,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.62
2013,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.07
2014,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.1
2015,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.08
2016,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,2.0
2017,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.25
2018,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.35
2019,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.39
2020,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.15
2021,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.46
2022,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,1.78
2023,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.56
2024,Santa Fe,San Justo,Soja,-30.5304248144909,-60.4886940672178,Pampa Húmeda,3.46
2000,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.61
2001,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.82
2002,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.49
2003,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.81
2004,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.72
2005,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.85
2006,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.43
2007,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.97
2008,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.18
2009,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.89
2010,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.96
2011,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.07
2012,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.62
2013,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.07
2014,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.1
2015,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.08
2016,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,2.0
2017,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.25
2018,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.35
2019,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.39
2020,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.15
2021,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.46
2022,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,1.78
2023,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.56
2024,Santa Fe,San Cristóbal,Soja,-30.2283897206038,-61.3599372073841,Pampa Húmeda,3.46
2000,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.61
2001,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.82
2002,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.49
2003,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.81
2004,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.72
2005,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.85
2006,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.43
2007,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.97
2008,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.18
2009,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.89
2010,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.96
2011,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.07
2012,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.62
2013,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.07
2014,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.1
2015,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.08
2016,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,2.0
2017,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.25
2018,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.35
2019,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.39
2020,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.15
2021,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.46
2022,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,1.78
2023,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.56
2024,Santa Fe,San Javier,Soja,-30.1041461062467,-59.8980704736792,Pampa Húmeda,3.46
2000,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.61
2001,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.82
2002,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.49
2003,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.81
2004,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.72
2005,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.85
2006,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.43
2007,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.97
2008,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.18
2009,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.89
2010,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.96
2011,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.07
2012,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.62
2013,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.07
2014,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.1
2015,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.08
2016,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,2.0
2017,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.25
2018,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.35
2019,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.39
2020,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.15
2021,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.46
2022,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,1.78
2023,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.56
2024,Santa Fe,General López,Soja,-33.9221898209726,-61.939680211795,Pampa Húmeda,3.46
2000,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.61
2001,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.82
2002,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.49
2003,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.81
2004,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.72
2005,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.85
2006,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.43
2007,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.97
2008,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.18
2009,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.89
2010,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.96
2011,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.07
2012,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.62
2013,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.07
2014,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.1
2015,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.08
2016,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,2.0
2017,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.25
2018,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.35
2019,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.39
2020,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.15
2021,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.46
2022,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,1.78
2023,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.56
2024,Santa Fe,Constitución,Soja,-33.4871399171909,-60.8374001304635,Pampa Húmeda,3.46
2000,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.61
2001,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.82
2002,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.49
2003,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.81
2004,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.72
2005,Santa Fe,Caseros,Soja,-33.2249739383268,-61.5428621200429,Pampa Húmeda,2.85
